lemmas,bigrams,depenrel
"['us', 'staff', 'horribl']",so horrible;,staff was;
"['factor', 'averag', 'redeem', 'defici', 'teodora', 'make', 'food', 'complet', 'fair']",completely fair;only redeeming;n't make;other deficiencies;,only factor;redeeming factor;factor was;which was;n't make;other deficiencies;
"['whether', 'kitchen', 'uniformli', 'whatev', 'capabl', 'except', 'proudli', 'like', 'food', 'eat', 'whip', 'menu', 'feel']",uniformly exceptional;very capable;capable kitchen;proudly whip;,food is;capable kitchen;which whip;whatever feel;you feel;it 's;
"['greet', 'gabriela', 'personali', 'eat', 'recommend']",,personaly greets;you greets;you recommends;what eat;
"['enjoy', 'go', 'say', 'get']",n't enjoy;just do;n't get;,that go;n't enjoy;it enjoy;all is;i say;they get;n't get;it get;
"['littl', 'perk', 'outstand', 'great', 'food']",not only;only was;food outstanding;little 'perks;,food was;outstanding food;little perks;perks were;
"['overpric', 'tasti']",very overpriced;not very;very tasty;,it is;not tasty;
"['usual', 'half', 'sausag', 'favorit', 'enough', 'dish', 'sampl', 'split', 'orrechiet', 'waiter', 'meat', 'chicken', 'kind', 'agre', 'get']",agreed favorite;are kind;kind enough;,agreed favorite;favorite is;waiters are;dish split;you get;meats sample;
"['tast', 'bagel', 'chewi', 'textur', 'outstand', 'yet', 'gummi', 'terrif']",outstanding taste;terrific texture;yet not;not gummy;,bagels have;outstanding taste;taste have;terrific texture;not gummy;
"['nevertheless', 'food', 'pretti', 'good']",pretty good;,food is;
"['mayonnais', 'temperatur', 'forget', 'ingredi', 'cook', 'hot', 'chees', 'plate', 'toast', 'bacon', 'leav', 'ie', 'crumbl', 'omelet', 'touch']",not have;have mayonnaise;ie cheese;hot temperatures;,they have;not have;mayonnaise have;toast forgot;ingredients left;ie cheese;hot temperatures;it crumbled;you touched;it touched;
"['take', 'sit', 'check', 'half', 'hour', 'perfect', 'drink', 'could', 'talk', 'get', 'sinc']",have drinks;,it took;hour took;check get;which was;we sit;drinks have;
"['atmospher', 'design', 'good']",just as;as good;,design is;
"['visit', 'cuisin', 'expert', 'thailand', 'quit']",visited thailand;quite expert;,he visited;thailand visited;
"['would', 'mari', 'regular', 'neighborhood', 'haunt', 'make', 'one', 'definit', 'recommend']",definitely recommend;recommend mary;regular neighborhood;,i recommend;mary recommend;it one;regular haunts;
"['pizza', 'crust', 'thin', 'like', 'best']",thin crusted;crusted pizza;,pizza is;you like;thin pizza;crusted pizza;pizza like;
"['stumbl', 'great', 'girlfriend', 'place', 'hop', 'night', 'onto', 'time']",hopping place;other night;great time;,i stumbled;other night;great time;time had;
"['help', 'buy', 'fast']",n't help;so fast;,he help;n't help;they bought;
"['perfum', 'east', 'overwhelm', 'side', 'ladi', 'upper', 'secondli', 'place', 'night']",upper east;east side;,place overwhelmed;upper perfume;east side;
"['sheer', 'hand', 'eat', 'besid', 'conveni', 'reason', 'time']",,i eaten;handful eaten;sheer convenience;
"['pie', 'folk', 'know', 'obvious', 'run']",obviously run;,who know;pie know;
['disappoint'],very disappointed;,we were;
"['definit', 'special', 'afford']",definitely special;,it is;
"['like', 'place', 'realli']",really liked;,i liked;place liked;
"['soon', 'go', 'back']",back very;very soon;,i going;
"['chef', 'none', 'interior', 'money', 'go', 'decor']",interior decoration;,money went;interior decoration;none went;
"['seat', 'wall', 'wooden', 'bench', 'sit', 'uncomfort']",wooden benches;,seats are;you sitting;wooden benches;
"['ice', 'seltzer', 'lime', 'ask']",,i asked;
"['pretti', 'inexpens']",pretty inexpensive;,it was;
['back'],not be;,not be;
"['pickl', 'two', 'enough', 'go', 'even', 'alon', 'whole', 'select', 'meat', 'peopl', 'experi', 'seafood']",n't go;n't enough;whole experience;,n't go;people is;n't is;whole experience;
"['dish', 'style', 'famili', 'eat', 'tri', 'want', 'suggest']",eat family;other dishes;,suggestion is;style eat;you want;other dishes;dishes try;
"['super', 'warm', 'servic', 'vibe', 'owner', 'fast', 'friendli', 'best']",warm vibe;,warm vibe;owner is;service is;
"['valu', 'joint']",,this is;n't is;
"['deliveri', 'faan', 'littl', 'concept', 'great', 'rough', 'get']",great concept;little rough;,faan got;great concept;concept got;little rough;
"['downtown', 'warm', 'servic', 'spot', 'beat', 'neighborhood', 'incred', 'food', 'miss', 'friendli', 'atmospher']",incredible food;friendly service;downtown neighborhood;n't miss;,incredible food;warm atmosphere;friendly service;spot miss;n't miss;beat miss;
"['beat', 'even', 'make', 'great', 'price', 'food', 'reason']",great food;reasonable prices;n't be;,great food;food makes;reasonable prices;that beat;n't beat;
"['look', 'return', 'upon', 'foward', 'tri', 'ruben']",look foward;,ruben trying;
"['hold', 'roth', 'candl', 'seem', 'hous', 'strip', 'steakhous']",only other;other steakhouse;,only steakhouse;other steakhouse;steakhouse is;that seems;candle hold;
"['usual', 'anniversari', 'go', 'chart', 'hous', 'birthday', 'celebr']",usually go;,we go;birthday celebrate;
"['littl', 'citi', 'interior', 'afford', 'price', 'place', 'cute', 'decor']",little place;cute interior;interior decor;affordable city;,little place;place has;cute decor;interior decor;decor has;affordable prices;
['ador'],,you adore;it adore;
"['free', 'wine', 'word', 'two']",free wine;,free wine;
"['although', 'servic', 'poor', 'price', 'reason']",,price is;service is;
"['come', 'also', 'satisfi', 'quantiti', 'good']",also very;very good;,quantity is;you come;
"['disappoint', 'roth', 'time', 'twice']",very disappointing;,i been;times were;
"['ave', 'visit', 'worth', 'spot', 'origin', 'store', 'st']",worth visiting;ave spot;original store;,1st visiting;spot visiting;it is;original store;
