lemmas,lemmas,lemmas
"['horribl', 'us', 'staff']",so horrible;,staff was;
"['averag', 'complet', 'defici', 'fair', 'food', 'factor', 'make', 'redeem', 'teodora']",completely fair;only redeeming;n't make;other deficiencies;,only factor;redeeming factor;factor was;which was;n't make;other deficiencies;
"['capabl', 'uniformli', 'eat', 'menu', 'proudli', 'whip', 'food', 'except', 'like', 'kitchen', 'feel', 'whatev', 'whether']",uniformly exceptional;very capable;capable kitchen;proudly whip;,food is;capable kitchen;which whip;whatever feel;you feel;it 's;
"['eat', 'gabriela', 'personali', 'greet', 'recommend']",,personaly greets;you greets;you recommends;what eat;
"['go', 'get', 'enjoy', 'say']",n't enjoy;just do;n't get;,that go;n't enjoy;it enjoy;all is;i say;they get;n't get;it get;
"['great', 'perk', 'food', 'littl', 'outstand']",not only;only was;food outstanding;little 'perks;,food was;outstanding food;little perks;perks were;
"['tasti', 'overpric']",very overpriced;not very;very tasty;,it is;not tasty;
"['half', 'sausag', 'meat', 'get', 'agre', 'enough', 'kind', 'sampl', 'usual', 'chicken', 'split', 'favorit', 'orrechiet', 'waiter', 'dish']",agreed favorite;are kind;kind enough;,agreed favorite;favorite is;waiters are;dish split;you get;meats sample;
"['tast', 'yet', 'gummi', 'bagel', 'terrif', 'textur', 'chewi', 'outstand']",outstanding taste;terrific texture;yet not;not gummy;,bagels have;outstanding taste;taste have;terrific texture;not gummy;
"['food', 'pretti', 'good', 'nevertheless']",pretty good;,food is;
"['leav', 'toast', 'touch', 'cook', 'plate', 'ie', 'mayonnais', 'omelet', 'crumbl', 'chees', 'hot', 'ingredi', 'forget', 'bacon', 'temperatur']",not have;have mayonnaise;ie cheese;hot temperatures;,they have;not have;mayonnaise have;toast forgot;ingredients left;ie cheese;hot temperatures;it crumbled;you touched;it touched;
"['half', 'get', 'drink', 'sinc', 'talk', 'take', 'could', 'perfect', 'sit', 'check', 'hour']",have drinks;,it took;hour took;check get;which was;we sit;drinks have;
"['atmospher', 'good', 'design']",just as;as good;,design is;
"['cuisin', 'visit', 'quit', 'expert', 'thailand']",visited thailand;quite expert;,he visited;thailand visited;
"['neighborhood', 'one', 'mari', 'haunt', 'make', 'regular', 'would', 'definit', 'recommend']",definitely recommend;recommend mary;regular neighborhood;,i recommend;mary recommend;it one;regular haunts;
"['crust', 'pizza', 'thin', 'like', 'best']",thin crusted;crusted pizza;,pizza is;you like;thin pizza;crusted pizza;pizza like;
"['hop', 'girlfriend', 'stumbl', 'great', 'night', 'onto', 'place', 'time']",hopping place;other night;great time;,i stumbled;other night;great time;time had;
"['buy', 'help', 'fast']",n't help;so fast;,he help;n't help;they bought;
"['upper', 'perfum', 'night', 'side', 'secondli', 'east', 'ladi', 'overwhelm', 'place']",upper east;east side;,place overwhelmed;upper perfume;east side;
"['eat', 'sheer', 'besid', 'reason', 'hand', 'conveni', 'time']",,i eaten;handful eaten;sheer convenience;
"['run', 'pie', 'folk', 'know', 'obvious']",obviously run;,who know;pie know;
['disappoint'],very disappointed;,we were;
"['afford', 'definit', 'special']",definitely special;,it is;
"['realli', 'like', 'place']",really liked;,i liked;place liked;
"['back', 'go', 'soon']",back very;very soon;,i going;
"['interior', 'money', 'decor', 'none', 'go', 'chef']",interior decoration;,money went;interior decoration;none went;
"['wall', 'bench', 'uncomfort', 'sit', 'seat', 'wooden']",wooden benches;,seats are;you sitting;wooden benches;
"['lime', 'ask', 'seltzer', 'ice']",,i asked;
"['inexpens', 'pretti']",pretty inexpensive;,it was;
['back'],not be;,not be;
"['seafood', 'enough', 'peopl', 'two', 'whole', 'alon', 'even', 'pickl', 'meat', 'select', 'go', 'experi']",n't go;n't enough;whole experience;,n't go;people is;n't is;whole experience;
"['eat', 'style', 'want', 'famili', 'tri', 'suggest', 'dish']",eat family;other dishes;,suggestion is;style eat;you want;other dishes;dishes try;
"['vibe', 'friendli', 'warm', 'servic', 'fast', 'owner', 'super', 'best']",warm vibe;,warm vibe;owner is;service is;
"['joint', 'valu']",,this is;n't is;
"['rough', 'get', 'great', 'faan', 'littl', 'deliveri', 'concept']",great concept;little rough;,faan got;great concept;concept got;little rough;
"['neighborhood', 'incred', 'spot', 'downtown', 'warm', 'servic', 'food', 'atmospher', 'miss', 'beat', 'friendli']",incredible food;friendly service;downtown neighborhood;n't miss;,incredible food;warm atmosphere;friendly service;spot miss;n't miss;beat miss;
"['price', 'great', 'reason', 'food', 'even', 'make', 'beat']",great food;reasonable prices;n't be;,great food;food makes;reasonable prices;that beat;n't beat;
"['return', 'foward', 'upon', 'ruben', 'tri', 'look']",look foward;,ruben trying;
"['candl', 'steakhous', 'roth', 'seem', 'strip', 'hous', 'hold']",only other;other steakhouse;,only steakhouse;other steakhouse;steakhouse is;that seems;candle hold;
"['chart', 'celebr', 'usual', 'birthday', 'hous', 'go', 'anniversari']",usually go;,we go;birthday celebrate;
"['interior', 'afford', 'price', 'citi', 'littl', 'decor', 'cute', 'place']",little place;cute interior;interior decor;affordable city;,little place;place has;cute decor;interior decor;decor has;affordable prices;
['ador'],,you adore;it adore;
"['wine', 'two', 'free', 'word']",free wine;,free wine;
"['although', 'price', 'servic', 'reason', 'poor']",,price is;service is;
"['quantiti', 'good', 'come', 'satisfi', 'also']",also very;very good;,quantity is;you come;
"['twice', 'roth', 'disappoint', 'time']",very disappointing;,i been;times were;
"['visit', 'ave', 'spot', 'worth', 'st', 'store', 'origin']",worth visiting;ave spot;original store;,1st visiting;spot visiting;it is;original store;
"['ago', 'lover', 'walk', 'floor', 'stumbl', 'sit', 'upon', 'bar', 'sushi', 'action', 'two', 'second', 'friend', 'l', 'seriou', 'town', 'friday', 'closer']",second floor;floor walk-up;serious sushi;,i stumbled;second floor;i was;serious lovers;we sat;
"['romant', 'restaur', 'raga', 'cozi']",cozy restaurant;,romantic restaurant;cozy restaurant;
"['rice', 'amaz', 'fri']",fried rice;,fried rice;rice is;
"['world', 'pastri', 'delici', 'mussel', 'dress', 'includ', 'poivr', 'three', 'puff', 'cours', 'excel', 'goat', 'salad', 'chees', 'steak', 'hanger', 'au', 'choic']",excellent mussels;puff pastry;delicious dressing;,choices include;excellent mussels;mussels include;delicious dressing;hanger steak;poivre include;that is;
"['amanz', 'indian', 'food', 'perfect', 'place']",perfect place;indian food;,it 's;perfect place;amanzing food;indian food;food have;
"['prompt', 'curtiou', 'servic', 'cool', 'place']",so cool;,place is;service is;
"['leav', 'noodl', 'broth', 'end', 'slurp', 'mild', 'cup']",mild broth;,you left;mild broth;you slurp;
"['wonder', 'delici', 'money', 'littl', 'meal']",just wonder;delicious meal;such little;little money;,i wonder;you have;delicious meal;meal have;such money;little money;
"['delici', 'come', 'empti', 'food', 'stomach']",not come;empty stomach;,food was;not come;empty stomach;
"['wine', 'list', 'excel']",wine list;,list is;
"['fit', 'toaster', 'garantuan']",so garantuan;n't fit;,you fit;n't fit;them fit;
"['toon', 'mani', 'manhattan', 'far', 'food', 'cours', 'thai', 'except', 'ive', 'mom', 'restaur', 'best']",ive been;many thai;thai restaurants;best thai;,i been;many restaurants;thai restaurants;toons is;best food;thai food;i had;
"['wine', 'glass', 'anoth', 'offer', 'wouldnt', 'even', 'let', 'finish']",even let;,they let;me finish;glass finish;another offering;
"['highli', 'pizza', 'recommend', 'sophia']",highly recommend;,i recommend;pizza recommend;
