polarity,reviews
1.0,bread top notch well
1.0,say one fastest deliveri time citi
1.0,food alway fresh hot readi eat
1.0,mention coffe outstand
1.0,certainli best sushi new york howev alway fresh place clean steril
1.0,trust peopl go sushi never disappoint
1.0,straight forward surpris decent japanes food
1.0,best spici tuna roll great asian salad
1.0,tri rise roll menu
1.0,love drink esp lyche martini food also good
1.0,fact nicois salad bare eatabl
1.0,decent menu take ten minut get drink dessert pizza
1.0,sail top notch food live entertain sell us unforgett even
0.0,waiter horribl rude disinterest
1.0,sangria water
1.0,menu unev small
1.0,anytim everytim find neighborhood go sushi rise fresh sushi great portion reason price
1.0,great food servic dread
1.0,portion food come mediocr
0.0,two waitress look like suck lemon
1.0,begin meet friendli staff memeb convien park chelsea pier make easi us get boat
1.0,enjoy thoroughli go back dessert
1.0,dessert almost incred person favorit tart day
1.0,surpris lower review definit better place tri higher rat
1.0,mayb secret go sunday night everyth great
1.0,food extrem tasti creativ present wine excel
1.0,end littl itali late afternoon
1.0,pleasantli surpris choic
1.0,lasagna probabl best tast
1.0,harumi sushi freshest delici array sushi nyc
1.0,highli recommend superb cuisin also friendli owner staff
1.0,crave seriou indian food desir cozi ambianc quit exquisit choic
1.0,definit enjoy food well
1.0,alway great time
1.0,pleasantli uncrowd servic delight garden ador food appet entre delect
1.0,happi experi
1.0,food surprisingli good decor nice
1.0,pretenti inappropri mj grill claim provid power lunch dinner
0.0,two wast steak crime
1.0,staff bite friendli
1.0,absolut suggest place
1.0,think meatbal parm good
1.0,want good tast well season latin food eat cabana go wrong
1.0,definit tri taglierini truffl incred
1.0,also staff attent realli person
1.0,overal great new restaur consist good everi time
1.0,gnocchi liter melt mouth
1.0,great experi trio staff pleasant food tasti larg portion size would highli recommend portobello gorgonzola sausag appet lobster risotto
1.0,entre includ classic like lasagna fettuccin alfredo chicken parmigiana
1.0,food good teriyaki recommend
1.0,meal expens get
1.0,tri peanut butter sorbet pizza soy chees
1.0,good food right price ask
1.0,love take bu cab get
0.0,new york want miss place
1.0,food top notch servic attent atmospher great
1.0,come past five year say la lanterna never ever dissapoint
1.0,great food great waitstaff great atmospher best great beer
1.0,still one favorit restaur area food inexpens good kimono shrimp special excel great atmospher
1.0,husband move nolita year ago long live peasant favorit
1.0,whole experi satisfi
1.0,howev worth visit
1.0,menu interest quit reason price
1.0,food delici clearli fresh ingredi use
1.0,make obviou food cook fresh obvious make hand reheat
1.0,appet excel make great inexpens meal
1.0,spici mussel highlight
1.0,also get onion ring best ever
0.0,would return amount pay
0.0,howev foodi utterli disappoint food
1.0,huge portion great attent servic pretti good price
0.0,highli disappoint servic food
0.0,complain waiter manag intens rude go
1.0,food great milkshak even better
1.0,stay away claustrophob
0.0,hood definit stop
1.0,mushroom barley soup amaz
1.0,recommend friend check arezzo wife
1.0,glad food good staff friendli courteou effici
1.0,duck also absolut delici
1.0,definit one place continu come back year
1.0,larg bite noisi drink fantast food superb
0.0,one caveat curri casserol trifl harsh
1.0,impress spicey
1.0,food almost alway excel
1.0,pleasent surpris tast
1.0,nice space long get crowd singlemind devot choos cuisin make mare great choic seafood lover
0.0,never orang donut give shoot
1.0,realli provid relax lay back atmospher
1.0,particular locat certainli use substandard meat
1.0,stumbl upon resteraunt way home subway
1.0,manag less accomod
1.0,ambienc also lay back relax
1.0,tea great sweet homemad
1.0,mojito servic best part
1.0,sandwich burger salad like lemon dress cobb classic success
1.0,restaur absolut beauti
1.0,design intim romant
1.0,food wonder imagin
1.0,staff sharp look good
0.0,worst though tast
1.0,dri stale pretti flavorless
1.0,fajita tri tasteless burn mole sauc way sweet
1.0,stay roast chicken fine
1.0,atmospher warm comfort artsi sexi
1.0,food great big select reason price drink realli good
1.0,steak melt mouth
1.0,food take extra minut come cute waiter joke friendli make
1.0,importantli reason price
1.0,select food excel use much choic restaur atmospher great
1.0,suggest skip dessert overpric fell short tast
1.0,food decent great
1.0,idea restaur often overlook
1.0,moment walk feel like perfect place
1.0,dont know peopl rave hot dog talk
1.0,hide delight complet quaint bar good food
1.0,find kosher restaur averag good best eat far
1.0,waiter alway look angri even ignor high tip regular
1.0,atmospher nice welcom escap rest si mall
1.0,ye bite expens typic food
1.0,terribl restaur review
1.0,say wrap burger salad fresh tasti mango margareta well worth money
1.0,delici larg
1.0,anywher els price would x high
1.0,servic experi friendli good
0.0,waiter friendli shame didnt support staff work
1.0,fold chair seat uncomfort
1.0,wait watch seper group diner discuss dissapoint also
1.0,excel choic midtown
1.0,servic among best ever nyc
1.0,fettucino alfredo amaz
1.0,food good pleasantli surpris see mani vegan option
1.0,know real indian food
1.0,sure tri smoke trout lamb chop veal chop rabbit potato gratin
1.0,even chef hous food servic right target
1.0,everyth egg benedict mussel even hamburg do well tasti
1.0,waiter profession courteou attent
1.0,boyfriend go last night love
1.0,falaf rather cook dri chicken fine
1.0,highli reccomend grand marnier shrimp insan good
1.0,realli enjoy food areal great food servic realli good
1.0,dessert includ flan sopaipilla
1.0,starv small portion drive crazi
1.0,wait staff loud inconsider
0.0,howev food servic dramat lack
0.0,sushi cut block bigger cell phone
1.0,servic great soup alway arriv nice hot
0.0,awhil forget delici crepe
1.0,montparnass dessert especi silken creme brule paper thin appl tart good enough make restaur worth trip
1.0,friend tell restaur year final take weekend
1.0,delici shrimp creol
1.0,chicken dinner real good
0.0,bewar chili sign food item unless want call fire depart dous flame mouth
1.0,decor design contemporari japanes style restaur
1.0,food delici
1.0,tri rib sizzl beef coupl coconut rice
1.0,drawback littl pricey
1.0,everyth place wonder
1.0,avocado salad person fave
1.0,honey bbq rib tip yummi
1.0,best chines food uptown
1.0,servic know bend backward make everyon happi
1.0,atmospher attract littl uncomfort
1.0,staff friendli
1.0,waiter friendli pasta world
1.0,great wine list great cocktail menu
1.0,crab cake delici bbq rib perfect
1.0,food wonder art do simpli delici
1.0,tini restaur fast servic
1.0,sauc may everyon sinc distint
1.0,husband least time alway give highest servic often free dessert
1.0,beauti atmospher perfect drink appet
1.0,curioni pizza around sinc
1.0,make best pizza new jersey
1.0,recent visit past summer away year
1.0,differ servic comfort food better averag realli stand dynam extens beer list
1.0,frankli chines food someth make better home
1.0,one waiter whole restaur upstair
1.0,start scallop asparagu also soft shell crab well chees plate
1.0,overlook servic excel
1.0,without question one worst hotdog ever
1.0,staff unbeliev friendli dream saag gosht good
1.0,also recommend garlic knot
