reviews,lemmas,lemmas,aspectCategory
But the staff was so horrible to us.,"['horribl', 'staff', 'us']",so horrible;,service
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","['redeem', 'teodora', 'averag', 'fair', 'factor', 'complet', 'make', 'defici', 'food']",completely fair;only redeeming;n't make;other deficiencies;,food
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","['like', 'whether', 'feel', 'capabl', 'eat', 'menu', 'except', 'uniformli', 'proudli', 'kitchen', 'whatev', 'whip', 'food']",uniformly exceptional;very capable;capable kitchen;proudly whip;,food
Where Gabriela personaly greets you and recommends you what to eat.,"['personali', 'recommend', 'gabriela', 'eat', 'greet']",,service
"For those that go once and don't enjoy it, all I can say is that they just don't get it.","['go', 'get', 'say', 'enjoy']",n't enjoy;just do;n't get;,anecdotes/miscellaneous
"Not only was the food outstanding, but the little 'perks' were great.","['littl', 'outstand', 'perk', 'food', 'great']",not only;only was;food outstanding;little 'perks;,food
It is very overpriced and not very tasty.,"['overpric', 'tasti']",very overpriced;not very;very tasty;,food
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"['waiter', 'usual', 'get', 'half', 'chicken', 'split', 'favorit', 'dish', 'kind', 'sausag', 'enough', 'agre', 'orrechiet', 'sampl', 'meat']",agreed favorite;are kind;kind enough;,food
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","['gummi', 'terrif', 'chewi', 'yet', 'textur', 'outstand', 'bagel', 'tast']",outstanding taste;terrific texture;yet not;not gummy;,food
Nevertheless the food itself is pretty good.,"['pretti', 'food', 'nevertheless', 'good']",pretty good;,food
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","['ie', 'hot', 'touch', 'leav', 'forget', 'chees', 'temperatur', 'bacon', 'crumbl', 'ingredi', 'mayonnais', 'omelet', 'plate', 'toast', 'cook']",not have;have mayonnaise;ie cheese;hot temperatures;,food
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","['get', 'half', 'could', 'sinc', 'check', 'talk', 'perfect', 'hour', 'take', 'drink', 'sit']",have drinks;,service
The design and atmosphere is just as good.,"['design', 'good', 'atmospher']",just as;as good;,ambience
He has visited Thailand and is quite expert on the cuisine.,"['quit', 'visit', 'thailand', 'cuisin', 'expert']",visited thailand;quite expert;,food
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,"['regular', 'neighborhood', 'one', 'recommend', 'make', 'would', 'mari', 'haunt', 'definit']",definitely recommend;recommend mary;regular neighborhood;,anecdotes/miscellaneous
The pizza is the best if you like thin crusted pizza.,"['like', 'best', 'crust', 'thin', 'pizza']",thin crusted;crusted pizza;,food
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"['time', 'onto', 'hop', 'stumbl', 'night', 'girlfriend', 'place', 'great']",hopping place;other night;great time;,anecdotes/miscellaneous
"He can't help, they're bought up so fast.","['help', 'buy', 'fast']",n't help;so fast;,anecdotes/miscellaneous
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","['ladi', 'east', 'night', 'overwhelm', 'upper', 'secondli', 'place', 'perfum', 'side']",upper east;east side;,ambience
"i have eaten here a handful of times, for no reason besides sheer convenience.","['hand', 'time', 'reason', 'sheer', 'besid', 'conveni', 'eat']",,anecdotes/miscellaneous
Obviously run by folks who know a pie.,"['know', 'obvious', 'run', 'pie', 'folk']",obviously run;,service
We were very disappointed.,['disappoint'],very disappointed;,anecdotes/miscellaneous
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,"['afford', 'special', 'definit']",definitely special;,anecdotes/miscellaneous
I really liked this place.,"['like', 'place', 'realli']",really liked;,anecdotes/miscellaneous
I will be going back very soon.,"['go', 'back', 'soon']",back very;very soon;,anecdotes/miscellaneous
"All the money went into the interior decoration, none of it went to the chefs.","['chef', 'interior', 'decor', 'money', 'go', 'none']",interior decoration;,ambience
The seats are uncomfortable if you are sitting against the wall on wooden benches.,"['wall', 'seat', 'bench', 'wooden', 'sit', 'uncomfort']",wooden benches;,ambience
"I asked for seltzer with lime, no ice.","['ice', 'lime', 'seltzer', 'ask']",,food
It was pretty inexpensive too.,"['pretti', 'inexpens']",pretty inexpensive;,price
Will not be back.,['back'],not be;,anecdotes/miscellaneous
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","['whole', 'alon', 'peopl', 'two', 'pickl', 'even', 'seafood', 'select', 'enough', 'go', 'experi', 'meat']",n't go;n't enough;whole experience;,food
My suggestion is to eat family style because you'll want to try the other dishes.,"['famili', 'style', 'want', 'suggest', 'dish', 'tri', 'eat']",eat family;other dishes;,food
"Best of all is the warm vibe, the owner is super friendly and service is fast.","['best', 'owner', 'fast', 'servic', 'vibe', 'super', 'friendli', 'warm']",warm vibe;,service
This isn't a value joint.,"['joint', 'valu']",,price
Faan's got a great concept but a little rough on the delivery.,"['faan', 'get', 'rough', 'concept', 'littl', 'deliveri', 'great']",great concept;little rough;,anecdotes/miscellaneous
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","['neighborhood', 'warm', 'atmospher', 'beat', 'miss', 'servic', 'incred', 'downtown', 'friendli', 'food', 'spot']",incredible food;friendly service;downtown neighborhood;n't miss;,food
"Great food at REASONABLE prices, makes for an evening that can't be beat!","['beat', 'reason', 'make', 'even', 'food', 'price', 'great']",great food;reasonable prices;n't be;,food
Look foward to trying the Ruben upon returning.,"['tri', 'foward', 'upon', 'look', 'ruben', 'return']",look foward;,anecdotes/miscellaneous
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,"['hous', 'candl', 'strip', 'seem', 'roth', 'hold', 'steakhous']",only other;other steakhouse;,anecdotes/miscellaneous
